Country,2018 score,Change from 2017,Change from 2016,Change from 2015,Change from 2014,Change from 2013
South Korea,35.7,2.4,0.4,0.6,0.7,0.3
Uruguay,35.4,1.4,0.8,1.1,2.5,3
Japan,34.5,2.9,0.6,1.5,1.8,1.6
United Kingdom,34.3,1.1,1.9,0.9,,1.1
France,32.2,1.3,2.3,1.5,2.6,0.4
Singapore,30.4,2.1,2.5,4,5.5,3.6
Slovenia,30.3,2.1,3.6,1.3,2.3,2
Belgium,29.7,1.1,0.7,0.7,2.3,1.2
Portugal,27.3,1.7,1.9,2.4,5.8,5.3
Austria,26.2,1.5,1.3,0.2,2.3,0.7
Netherlands,26.2,1.2,2,0.6,2.4,0.7
Germany,25.8,2.3,2.8,2.3,4.8,3.9
Canada,21.5,1.1,2.3,4.2,5.9,4.5
New Zealand,20.9,1.7,0.4,1.7,3.2,1.8
Sweden,20.8,1.3,1.8,0.6,0.6,1.1
Australia,20.8,1.5,1.7,3.5,5.5,4.6
Luxembourg,20.8,2.6,3.3,1.4,3.8,2.5
Ireland,20.7,1.6,1.8,4,5.4,4.1
Iceland,20.3,2.2,2.5,3.1,5.6,4.4
Denmark,19.8,1.7,1.7,1.7,3,2.1
Switzerland,19.2,1.9,2.6,3.1,4.1,2.3
Norway,18.3,2.2,2.9,2.5,4.7,3.2
Finland,17.9,0.8,0.9,0.1,0.8,0.1
