,Country Name,Unrest Cases,Political model,Country Code,gdp-2007,gdp-2008,gdp-2009,gdp-2010,gdp -2011,gdp-2012,gdp -2013,gdp-2014,gdp-2015,gdp-2016,gdp-2017,ICP-2007,ICP-2008,ICP-2009,ICP-2010,ICP-2011,ICP-2012,ICP-2013,ICP-2014,ICP-2015,ICP-2016,ICP-2017,UG2007,UG2008,UG2009,UG2010,UG2011,UG2012,UG2013,UG2014,UG2015,UG2016,UG2017,UG2018,UY2007,UY2008,UY2009,UY2010,UY2011,UY2012,UY2013,UY2014,UY2015,UY2016,UY2017,UY2018
173,"Macao SAR, China",,,,18340447243,20917444920,21475520709,28123640999,36709860068,43031577366,51552075902,55347998648,45361678147,45310877913,50361201096,5.570507914,8.609519354,1.169351365,2.809766066,5.804468001,6.108311726,5.506786663,6.045271806,4.559202881,2.370161348,1.22655456,3.029999971,3.029999971,3.579999924,2.839999914,2.559999943,1.970000029,1.820000052,1.700000048,1.809999943,1.906999946,1.976999998,1.93900001,6.132999897,5.956999779,7.605999947,5.364999771,5.618999958,5.678999901,4.133999825,4.572999954,4.69299984,4.738999844,4.489999771,4.678999901
175,Monaco,,Monarchy,MCO,5867916781,6476490406,5451653237,5362649007,6080344732,5743029680,6553372278,7060236168,6258178995,6468252212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Moldova,,,,4401154128,6054806101,5439422031,5811604052,7015206498,7284686576,7985387152,7983241044,6512885830,6795731286,8128493432,12.36716684,12.78304726,-0.062718597,7.483850864,7.687251034,4.546334274,4.597878974,5.088785546,9.676240331,6.35930898,6.570229975,5.070000172,3.980000019,6.400000095,7.449999809,6.679999828,5.579999924,5.099999905,3.859999895,3.690000057,4.179999828,4.453999996,4.385000229,14.19699955,11.03999996,15.34899998,17.81100082,14.88000011,13.09200001,12.21000004,9.852999687,10.73700047,11.23499966,12.83600044,12.60499954
177,Maldives,,Democracy ,MDV,1868383461,2271646188,2345294875,2588176055,2774351760,2886170572,3295011382,3697351597,4109424801,4414055725,4865546027,6.794773539,12.04145835,4.530176591,6.149885368,11.27341461,10.88469566,3.805516819,2.12011311,0.953206659,0.502509414,2.703464654,3.953999996,4.116000175,4.868000031,4.577000141,4.681000233,5.113999844,4.96600008,5.210000038,5.052999973,5.027999878,4.994999886,4.965000153,8.258000374,8.682999611,10.79800034,10.11400032,10.52099991,12,11.8760004,12.88599968,13.07600021,13.52299976,13.77999973,14.04100037
178,Middle East & North Africa,,,,2.12E+12,2.65E+12,2.37E+12,2.77E+12,3.28E+12,3.58E+12,3.55E+12,3.57E+12,3.15E+12,3.16E+12,3.28E+12,4.743565853,10.47171934,2.795512836,3.749157276,4.524211505,3.731209508,2.960134497,2.346268657,1.494759286,1.844390956,1.492252182,9.761485188,9.429569813,9.575268848,10.47883111,10.48905391,10.57830867,10.12732812,10.13866927,10.19399245,10.22151734,10.13568879,9.984170334,23.30443136,23.72110473,23.34324068,25.35680902,26.24184194,27.67050376,26.62234552,26.57955949,27.30108822,26.82839302,27.00487302,26.93141861
179,Marshall Islands,,Democracy ,MHL,150776500,152788700,152617500,164969100,173260300,185210500,190800800,183121300,179697900,194497900,204173430.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Middle income,,,,1.4E+13,1.67E+13,1.64E+13,1.99E+13,2.35E+13,2.51E+13,2.66E+13,2.76E+13,2.61E+13,2.62E+13,2.87E+13,6.399134629,10.1906046,4.234765741,4.580199854,6.160775538,4.517006194,4.470625143,3.589220166,3.062031696,2.724612233,3.446367832,5.132434932,5.274000362,5.4168109,5.081841132,4.981495452,4.987455165,4.9867767,4.959412341,5.124258866,5.338279629,5.411928336,5.36922821,12.23237036,12.6789921,13.0071241,12.36853463,12.34867904,12.58184649,12.56166046,12.51444048,13.0123555,13.52553227,13.70269382,13.67798562
181,Malta,,"Capitalism,Democracy",MLT,7880509171,8977149553,8528202278,8741059603,9505636642,9205742002,10146688739,11216758082,10554669618,11274020601,12518134319,1.249219238,4.258621719,2.084327461,1.515635136,2.962985282,2.375820578,1.180284364,0.310306472,1.100548264,0.642702772,1.364354482,6.46999979,5.980000019,6.889999866,6.849999905,6.380000114,6.309999943,6.389999866,5.800000191,5.389999866,4.699999809,4.010000229,3.903000116,13.48400021,11.60999966,14.48600006,13.24300003,13.32900047,14.07699966,13.02000046,11.74100018,11.77400017,11.02299976,10.49800014,10.33600044
182,Myanmar,,,,20182477481,31862554102,36906181381,49540813342,59977326086,59937797559,60269734045,65446199788,59687410897,63256184700,67068745521,35.02459707,26.79953719,1.472343114,7.718381959,5.021460146,1.467583227,5.483386189,5.046410888,9.485472555,6.964739177,4.572727331,0.825999975,0.796999991,0.791999996,0.785000026,0.782000005,0.781000018,0.778999984,0.774999976,0.769999981,0.782999992,0.79400003,0.801999986,1.629999995,1.575000048,1.585000038,1.585999966,1.587000012,1.597000003,1.603000045,1.598999977,1.592000008,1.629999995,1.659000039,1.682000041
183,Middle East & North Africa (excluding high income),,,,1E+12,1.24E+12,1.2E+12,1.38E+12,1.57E+12,1.73E+12,1.62E+12,1.6E+12,1.44E+12,1.46E+12,1.44E+12,4.854771199,11.15967479,2.753934851,3.950078759,4.971485717,6.089096416,4.037629336,2.898931704,1.494759286,2.186861615,3.822872258,10.67924525,10.43484786,10.57630269,11.79444066,11.88362266,12.10892224,11.62507818,11.71646937,11.88742142,11.94965906,11.88709032,11.72909624,23.55066347,24.0992091,23.60733558,25.91364354,26.99819728,28.70059599,27.47855133,27.35371319,28.28033367,28.16035053,28.44777555,28.40088277
184,Montenegro,,,,3680710375,4545674528,4159330370,4139192053,4538198499,4087724528,4464261816,4587926231,4052913386,4374130531,4844592067,4.347122157,8.758727696,3.466723732,0.65494657,3.450143112,4.14524725,2.205892681,-0.710514052,1.548691582,-0.271385023,2.380235991,19.39999962,17.14999962,19.09000015,19.68000031,19.70999908,19.72999954,19.5,18,17.52000046,17.70000076,16.06999969,16.11599922,39.08000183,34.79199982,38.65200043,42.09999847,35.97700119,40.54700089,41.46300125,35.37400055,37.64300156,37.61899948,31.81599998,32.70100021
185,Mongolia,,Democracy,MNG,4234999823,5623216449,4583850368,7189481824,10409797649,12292770631,12582122604,12226514722,11749620620,11186734674,11433635876,9.637206329,27.9664723,7.586717549,10.07991843,8.409175072,14.31760204,10.48814505,12.22544812,6.580057365,1.05535328,4.050499281,7.199999809,5.559999943,5.860000134,6.550000191,4.769999981,3.900000095,4.230000019,4.800000191,4.860000134,7.239999771,6.959000111,6.653999805,14.9630003,9.612999916,9.977000237,14.35900021,10.14999962,8.236000061,10.47500038,11.85000038,12.57199955,19.8579998,18.88199997,17.9260006
186,Northern Mariana Islands,,,,938000000,939000000,795000000,799000000,733000000,751000000,782000000,845000000,931000000,1250000000,1593000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Malaysia,,"Capitalism,Democracy",MYS,1.94E+11,2.31E+11,2.02E+11,2.55E+11,2.98E+11,3.14E+11,3.23E+11,3.38E+11,2.97E+11,2.97E+11,3.15E+11,2.027353178,5.440782211,0.583308406,1.710037175,3.174470922,1.663571025,2.105012312,3.142990509,2.104389802,2.090566595,3.871201158,3.230000019,3.339999914,3.690000057,3.25,3.089999914,3.019999981,3.109999895,2.869999886,3.099999905,3.440000057,3.414999962,3.349999905,10.80099964,10.73900032,11.64700031,10.82800007,9.902999878,10.10700035,10.07400036,9.868000031,10.77700043,10.72500038,10.84899998,10.81900024
189,New Caledonia,,Democracy,NCL,,,,,,,,,,,,,,,,2.428996938,1.749672346,1.27761319,0.178851061,0.570508141,0.578317436,,14.64799976,14.07900047,13.97000027,14.19200039,14.35599995,14.48700047,14.65299988,14.59000015,14.57800007,14.62100029,14.75199986,14.82199955,38.00600052,36.56399918,36.19599915,36.8409996,37.08499908,37.23099899,37.56999969,37.3730011,37.45299911,37.64500046,38.08599854,38.59799957
190,Netherlands,,"Capitalism,Democracy",NLD,8.39E+11,9.36E+11,8.58E+11,8.36E+11,8.94E+11,8.29E+11,8.67E+11,8.8E+11,7.58E+11,7.77E+11,8.26E+11,1.613858598,2.486501983,1.18977687,1.275305696,2.341070178,2.455547653,2.506898527,0.97603508,0.600248147,0.316666667,1.381458714,3.180000067,2.75,3.410000086,4.449999809,4.980000019,5.820000172,7.239999771,7.420000076,6.869999886,6.010000229,4.840000153,3.792999983,5.929999828,5.268000126,6.610000134,8.704999924,9.998000145,11.68599987,13.15600014,12.73700047,11.24199963,10.83500004,8.880999565,6.959000111
191,Norway,0,"Capitalism,Democracy",NOR,4.01E+11,4.63E+11,3.87E+11,4.29E+11,4.99E+11,5.1E+11,5.24E+11,4.99E+11,3.87E+11,3.71E+11,3.99E+11,0.712589074,3.753930818,2.197385869,2.418906395,1.284951588,0.696864111,2.120486204,2.041702867,2.171136654,3.55,1.875100596,2.49000001,2.549999952,3.099999905,3.519999981,3.210000038,3.119999886,3.420000076,3.480000019,4.300000191,4.679999828,4.159999847,3.894999981,7.355000019,7.453000069,9.151000023,9.286000252,8.61400032,8.418999672,9.079000473,7.815999985,9.876000404,11.09899998,10.30200005,9.668999672
192,Nepal,0,Democracy,NPL,10325618017,12545438605,12854985464,16002656434,18913574371,18851513891,19271168018,20002968838,21410840909,21185922408,24880266905,2.269219244,9.907830053,11.09482374,9.326504107,9.227075461,9.459809804,9.040163119,8.364154697,7.868908956,8.79034332,3.228928123,1.368000031,1.340000033,1.743999958,2.119999886,2.532999992,2.89199996,3.299999952,3,3.101999998,3.062000036,2.736000061,2.690000057,2.28399992,2.224999905,2.895999908,3.505000114,4.197999954,4.755000114,5.436999798,4.953999996,5.127999783,4.988999844,4.306000233,4.306000233
193,Nauru,,Democracy,NRU,20432742.11,39333572.32,44290951.93,49248810.57,72751801.05,103811958.8,108601538.5,117020381.9,100459782.6,102060129.6,113884908.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,New Zealand,0,"Capitalism,Democracy",NZL,1.37E+11,1.33E+11,1.21E+11,1.47E+11,1.68E+11,1.76E+11,1.91E+11,2.01E+11,1.78E+11,1.89E+11,2.06E+11,2.376143103,3.958949373,2.115651106,2.30202386,4.027906674,1.059913184,1.134422664,1.227507506,0.292704628,0.646240284,1.850787675,3.599999905,4.019999981,5.820000172,6.139999866,5.96999979,6.409999847,5.760000229,5.380000114,5.369999886,5.110000134,4.881000042,5.039000034,9.845999718,10.86699963,15.67199993,16.2310009,15.87300014,16.64999962,14.9829998,13.9090004,13.72599983,13.28600025,12.76500034,13.21500015
196,Oman,,"Capitalism,Dictatorship",OMN,42085305592,60905331599,48388296489,58642392718,67937581274,76689206762,78784395319,81076723017,68905071521,66824447334,72642652796,5.830505315,12.3753857,3.468819509,3.25657959,4.042188671,2.947734953,1.045528388,1.022343145,0.065290133,1.109208058,1.597160603,4.230999947,4.142000198,4.078999996,3.977999926,3.973999977,3.773000002,3.651000023,3.493999958,3.318000078,3.266000032,3.25,3.229000092,9.626999855,9.402999878,9.345999718,9.276000023,9.194999695,8.793000221,8.845000267,8.944999695,9.046999931,8.661999702,8.456000328,8.42800045
198,Pakistan,100,Democracy,PAK,1.52E+11,1.7E+11,1.68E+11,1.77E+11,2.14E+11,2.24E+11,2.31E+11,2.44E+11,2.71E+11,2.79E+11,3.05E+11,7.598684411,20.28612109,13.64776506,13.88113926,11.91676947,9.682351861,7.692156119,7.189384028,2.529328173,3.765119164,4.08537368,5.099999905,4.980000019,5.460000038,0.649999976,0.800000012,1.840999961,2.950000048,1.830000043,3.569999933,3.844000101,4.044000149,4.197000027,7.580999851,7.863999844,8.866000175,1.30400002,1.763000011,3.859999895,6.113999844,4.169000149,6.818999767,7.303999901,7.683000088,7.945000172
199,Peru,,"Capitalism,Democracy",PER,1.02E+11,1.21E+11,1.21E+11,1.48E+11,1.72E+11,1.93E+11,2.01E+11,2.01E+11,1.9E+11,1.92E+11,2.11E+11,1.779986447,5.785875982,2.936231536,1.528320597,3.369310953,3.655709068,2.806716509,3.244963042,3.549288049,3.592113241,2.80283917,4.190000057,4.059999943,3.900000095,3.480000019,3.440000057,3.109999895,3.24000001,2.960000038,3,3.529999971,3.59100008,3.638000011,8.651000023,8.354999542,7.600999832,7.367000103,7.619999886,7.289000034,6.686999798,7.612999916,6.77699995,8.697999954,8.593000412,8.619000435
200,Philippines,,Democracy,PHL,1.49E+11,1.74E+11,1.68E+11,2E+11,2.24E+11,2.5E+11,2.72E+11,2.85E+11,2.93E+11,3.05E+11,3.14E+11,2.9,8.260447036,4.219030521,3.789836348,4.718417047,3.026963911,2.582687661,3.597823439,0.674192537,1.253698801,2.853187726,3.430000067,3.720000029,3.859999895,3.609999895,3.589999914,3.5,3.5,3.599999905,3.039999962,2.710000038,2.345999956,1.881000042,8.838999748,9.99600029,10.34300041,9.947999954,9.673999786,9.510000229,9.293000221,9.56000042,8.532999992,7.671000004,6.774000168,5.467000008
201,Palau,,Democracy ,PLW,193113700,196859300,182704300,182863000,193235600,214648500,225345700,245675100,293124000,303984500,289823500,3.238750358,11.96557468,1.438135383,1.442190174,4.674698795,3.614180479,3.354810042,4.191745486,0.949040644,-1.042305334,1.280462619,,,,,,,,,,,,,,,,,,,,,,,,
202,Papua New Guinea,,Democracy,PNG,9545071325,11670678864,11619541940,14250726290,17984816533,21295834133,21261305413,23060047128,20638636035,19028120013,20536314601,0.911350456,10.76141823,6.918325326,6.013608936,4.44083401,4.537205082,4.96031746,5.222117202,5.995957781,6.673728814,5.42204568,2.29399991,2.135999918,2.072000027,2,2.619999886,2.631999969,2.621999979,2.654000044,2.638000011,2.64199996,2.661999941,2.680000067,4.162000179,3.809999943,3.730999947,3.611000061,4.820000172,4.879000187,4.866000175,4.984000206,4.961999893,5.001999855,5.039000034,5.077000141
203,Poland,,"Capitalism,Democracy",POL,4.29E+11,5.34E+11,4.4E+11,4.79E+11,5.29E+11,5E+11,5.24E+11,5.45E+11,4.77E+11,4.72E+11,5.26E+11,2.458743124,4.164971935,3.795392425,2.580693703,4.239401496,3.560371517,0.991982606,0.053821313,-0.874125874,-0.664767331,2.075935537,9.600000381,7.119999886,8.170000076,9.640000343,9.630000114,10.09000015,10.32999992,8.989999771,7.5,6.159999847,4.889999866,4.364999771,21.54299927,17.18099976,20.49500084,23.64599991,25.67700005,26.42499924,27.20499992,23.76199913,20.69000053,17.59199905,14.77900028,13.29500008
204,Pre-demographic dividend,,,,7.51E+11,9.47E+11,8.56E+11,1.01E+12,1.18E+12,1.31E+12,1.43E+12,1.53E+12,1.34E+12,1.22E+12,1.3E+12,6.138510833,10.27839376,4.622985119,3.968970888,6.057858203,6.508556258,4.380358968,3.534368561,3.669900434,3.787226876,4.975951506,6.65480373,6.534389814,6.441716129,6.417519834,6.199731926,5.983572391,5.933133485,6.081679805,6.052330322,6.541822532,6.562642551,6.570146996,13.0075875,12.813382,12.62146557,12.56489575,12.27043738,11.96077451,11.94009933,11.62574056,11.71754704,12.75586752,12.87834126,12.96496572
205,Puerto Rico,,Democracy ,PRI,89524131617,93639300000,96385600000,98381300000,1E+11,1.02E+11,1.02E+11,1.02E+11,1.03E+11,1.04E+11,,,,,,,,,,,,,10.93000031,11.47999954,15,16.37000084,15.94999981,14.47999954,14.30000019,13.90999985,12,11.77999973,10.82999992,10.39099979,22.0890007,24.39900017,31.09199905,34.02799988,33.2519989,30.27099991,29.97599983,29.23900032,25.29599953,24.89999962,22.95199966,21.89500046
207,Portugal,,"Democratic socialism,Democracy",PRT,2.4E+11,2.62E+11,2.44E+11,2.38E+11,2.45E+11,2.16E+11,2.26E+11,2.3E+11,1.99E+11,2.05E+11,2.18E+11,2.453965281,2.588506577,-0.835530022,1.402572899,3.653011004,2.773338541,0.274416667,-0.278153367,0.487938624,0.607397075,1.368614116,7.960000038,7.550000191,9.430000305,10.77000046,12.68000031,15.52999973,16.18000031,13.89000034,12.43999958,11.06999969,8.869999886,7.34800005,16.71199989,16.63699913,20.2859993,22.73399925,30.27400017,37.97499847,38.14799881,34.80899811,32.00299835,27.99200058,23.94099998,19.73600006
208,Paraguay,,Democracy,PRY,17856270473,24578067861,22341754514,27215968616,33715524704,33283228891,38585317743,40276532541,36164068797,36054281572,39667400816,8.128776435,10.15454466,2.591946734,4.651162791,8.253968254,3.67591898,2.683857387,5.028827675,3.129002745,4.086822806,3.602477413,4.710000038,4.420000076,5.460000038,4.570000172,4.670000076,4.090000153,4.380000114,5.03000021,4.559999943,5.25,4.610000134,4.607999802,10.39000034,9.55700016,11.86499977,10.61699963,11.39799976,10.06200027,9.487999916,11.10099983,10.93099976,11.45800018,10.69299984,10.68799973
209,West Bank and Gaza,,,,5505800000,6673500000,7268200000,8913100000,10465400000,11279400000,12476000000,12715600000,12673000000,13425700000,14498100000,1.859743794,9.889997887,2.753934851,3.749157276,2.877243585,2.779087683,1.724399336,1.7329851,1.431611458,-0.219106605,0.212570934,21.71999931,26.61000061,24.54999924,23.72999954,20.94000053,22.96999931,23.39999962,26.95000076,25.81999969,26.88999939,27.39999962,26.76399994,35.09600067,40.73400116,38.8370018,38.7480011,35.61800003,38.66999817,40.7879982,43.37099838,40.34199905,41.5719986,43.02399826,41.97499847
212,French Polynesia,,Democracy,PYF,,,,,,,,,,,,,,,,,,,,,,,11.73999977,13.77400017,15.80200005,17.96800041,20.00900078,21.79000092,21.65299988,21.49300003,21.37100029,20.99099922,20.77300072,20.51499939,34.02799988,38.28499985,42.63000107,47.62900162,52.13700104,56.0320015,56.08200073,56.03900146,56.11399841,55.70800018,55.56900024,55.32300186
213,Qatar,,"Capitalism,Dictatorship",QAT,79712087912,1.15E+11,97798351648,1.25E+11,1.68E+11,1.87E+11,1.99E+11,2.06E+11,1.62E+11,1.52E+11,1.67E+11,13.75816258,15.05014516,-4.863278016,-2.425256752,1.138366235,2.315348534,3.214236565,3.351638736,1.610185208,2.872559911,0.408824437,0.519999981,0.310000002,0.310000002,0.449999988,0.560000002,0.479999989,0.270000011,0.189999998,0.159999996,0.140000001,0.122000001,0.120999999,1.582999945,1.039000034,1.18599999,1.333999991,1.317000031,1.598999977,1.05400002,0.731999993,0.550999999,0.446999997,0.405000001,0.419999987
214,Romania,,"Capitalism,Democracy",ROU,1.76E+11,2.14E+11,1.73E+11,1.66E+11,1.83E+11,1.71E+11,1.91E+11,2E+11,1.78E+11,1.88E+11,2.12E+11,4.837329283,7.850802557,5.587420043,6.091416686,5.789253288,3.334922677,3.984712355,1.068309877,-0.594156437,-1.544796668,1.339021211,6.409999847,5.789999962,6.860000134,6.960000038,7.179999828,6.789999962,7.099999905,6.800000191,6.809999943,5.900000095,4.929999828,4.625,20.19400024,18.73800087,20.95400047,21.83300018,23.67300034,22.41500092,23.62400055,23.89999962,21.5359993,20.52099991,18.4659996,17.27099991
215,Russian Federation,0,"Dictatorship,Communism",RUS,1.3E+12,1.66E+12,1.22E+12,1.52E+12,2.05E+12,2.21E+12,2.3E+12,2.06E+12,1.37E+12,1.28E+12,1.58E+12,9.007298689,14.11076778,11.64732958,6.849392303,8.440464859,5.074743008,6.754668339,7.8201697,15.53439599,7.042437254,3.683330723,6.099999905,6.320000172,8.420000076,7.369999886,6.539999962,5.440000057,5.460000038,5.159999847,5.570000172,5.537000179,5.199999809,5.06099987,14.31799984,14.07299995,18.70400047,17.11499977,15.52200031,14.97599983,14.19999981,14.06299973,16.41600037,16.61599922,16.25200081,16.0510006
