,Country Code_y,Country Name,Political model,GDP-2012,GDP -2013,GDP-2014,GDP-2015,GDP-2016,GDP-2017,ICP-2012,ICP-2013,ICP-2014,ICP-2015,ICP-2016,ICP-2017,UG2012,UG2013,UG2014,UG2015,UG2016,UG2017,UG2018,UY2012,UY2013,UY2014,UY2015,UY2016,UY2017,UY2018,2018 score,Status
58,ARG,Argentina,Democracy,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.55E+11,6.37E+11,,,,,,,7.21999979,7.099999905,7.269999981,7.151000023,8.696000099,8.517999649,8.161999702,18.28000069,19.43000031,18.84000015,20.07299995,23.52799988,23.49099922,22.57500076,46.1,1
59,ARM,Armenia,"Capitalism,Democratic socialism",10619320049,11121465767,11609512940,10553337673,10546135160,11536590636,2.558020078,5.789667785,2.981308689,3.731691193,-1.403607559,0.969553269,17.30999947,16.18000031,17.5,18.26000023,18.04000092,18.23399925,18.27599907,35.28900146,35.7519989,37.05400085,31.96899986,38.5909996,38.5870018,38.70899963,69.5,1
60,ATG,Antigua and Barbuda,Democracy,1211411704,1192919619,1275576784,1359194737,1464630213,1510084751,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796,2.43248789,,,,,,,,,,,,,,,55.6,1
61,AUS,Australia,"Capitalism,Democracy",1.54E+12,1.57E+12,1.46E+12,1.35E+12,1.21E+12,1.32E+12,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409,5.21999979,5.659999847,6.070000172,6.059999943,5.71999979,5.590000153,5.473999977,11.72999954,12.22000027,13.31999969,13.14000034,12.67000008,12.60000038,12.49400043,20.8,1
62,AUT,Austria,"Capitalism,Democracy",4.09E+11,4.3E+11,4.42E+11,3.82E+11,3.91E+11,4.17E+11,2.485673529,2.000158912,1.605804145,0.896565316,0.891592367,2.081268583,4.869999886,5.329999924,5.619999886,5.71999979,6.010000229,5.5,5.387000084,9.380000114,9.62899971,10.25199986,10.56499958,11.24499989,9.767999649,9.51099968,26.2,1
63,AZE,Azerbaijan,Dictatorship,69683935845,74164435946,75244294275,53074370486,37867518957,40747792238,1.068103014,2.418869884,1.389726358,4.009438267,12.44949552,12.90489121,5.190000057,4.96999979,4.909999847,4.960000038,5,5.032000065,5.037000179,14.06299973,13.54800034,13.42000008,13.31200027,13.49100018,13.79199982,14.02400017,74.6,0
64,BEL,Belgium,"Capitalism,Democracy",4.98E+11,5.21E+11,5.31E+11,4.55E+11,4.68E+11,4.93E+11,2.839663434,1.11309594,0.340002833,0.561429153,1.973852647,2.12597086,7.539999962,8.430000305,8.520000458,8.479999542,7.829999924,7.090000153,6.459000111,19.78100014,23.74799919,23.22699928,22.12800026,20.09000015,19.2140007,17.53899956,29.7,1
65,BGD,Bangladesh,Democracy,1.33E+11,1.5E+11,1.73E+11,1.95E+11,2.21E+11,2.5E+11,6.217504221,7.530406409,6.992081513,6.193840909,5.513525727,5.702070157,3.914000034,4.429999828,4.428999901,4.427000046,4.349999905,4.367000103,4.383999825,8.206999779,10.01299953,10.32600021,10.65400028,11.07900047,11.36499977,11.63700008,90.3,0
66,BGR,Bulgaria,"Capitalism,Democracy",53903022339,55555171010,56814543481,50201314895,53240950226,58220973783,2.954568298,0.890093541,-1.418183803,-0.104633261,-0.79874909,2.064355063,12.27000046,12.93999958,11.42000008,9.140000343,7.570000172,6.159999847,4.919000149,28.12100029,28.39699936,23.78000069,21.62999916,17.20000076,12.9659996,10.36100006,51.7,1
67,BHR,Bahrain,"Capitalism,Dictatorship",30749308511,32539547872,33387712766,31125851064,32152686170,35307127660,2.758286056,3.301006139,2.646291465,1.839519875,2.800594698,1.38734376,1.200000048,1.207000017,1.213000059,1.208999991,1.215000033,1.200999975,1.187999964,5.330999851,5.362999916,5.475999832,5.599999905,5.520999908,5.512000084,5.664000034,64.4,1
68,BHS,Bahamas,Capitalism,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000,1.97336756,0.722414785,1.506998589,1.86826447,-0.34637693,1.518207007,14.02000046,16.18000031,13.80000019,12,12.69999981,12.57299995,12.32600021,30.88699913,32.63899994,27.87800026,24.30400085,25.63899994,25.67300034,25.49099922,50,1
69,BIH,Bosnia and Herzegovina,Democracy,17226849297,18178503835,18558343508,16209702864,16911088174,18054854789,2.05267452,-0.093045684,-0.897194054,-1.023285045,-1.089130318,1.168812637,28.04999924,27.45000076,27.52000046,27.69400024,25.05999947,25.56200027,26.05599976,59.75500107,58.81600189,62.65999985,62.31800079,54.31000137,54.89099884,55.4980011,71.3,1
70,BLR,Belarus,Dictatorship,65685102555,75527984234,78813839984,56454734397,47749057078,54456465473,59.21973602,18.31226104,18.11955435,13.53448976,11.83658077,6.031837252,0.620000005,0.50999999,0.49000001,0.493000001,0.488000005,0.481000006,0.472000003,1.371000051,1.138000011,1.103000045,1.149000049,1.129999995,1.105999947,1.088000059,70.5,1
71,BLZ,Belize,Democracy ,1563827850,1608442150,1692955750,1762500450,1806646250,1862614800,,,,,,,14.27000046,11.68000031,11.56999969,9.970000267,7.909999847,9.329999924,9.248000145,24.74500084,21.61800003,23.13500023,18.97100067,17.74300003,19.75499916,19.33699989,63.7,1
72,BOL,Bolivia,Democratic socialism,27084497540,30659338929,32996187988,33000198263,33941126194,37508642113,4.518812388,5.735205887,5.764576458,4.060963726,3.625239368,2.822185557,2.049999952,2.390000105,2.00999999,3.069999933,3.059999943,3.148000002,3.187000036,3.303999901,5.326000214,4.633999825,6.815999985,6.322999954,6.500999928,6.579999924,75.2,1
73,BRA,Brazil,Democracy,2.47E+12,2.47E+12,2.46E+12,1.8E+12,1.79E+12,2.06E+12,5.403553391,6.204335948,6.329152227,9.029807186,8.7391283,3.446367832,7.190000057,6.989999771,6.670000076,8.43999958,11.60999966,13.31999969,12.04100037,16.12000084,15.96000004,15.82999992,19.90999985,27.25,30.20999908,27.43199921,68.7,0
74,BRB,Barbados,Capitalism,4656350000,4612500000,4608350000,4584150000,4529050000,4673500000,4.533347539,1.81410436,1.769503221,-1.112789925,1.281928131,4.66018464,11.57999992,11.55000019,12.17000008,11.35000038,9.720000267,9.687000275,9.527999878,28.94400024,29.36599922,33.69300079,32.29299927,29.31999969,28.95000076,28.09900093,48.2,1
75,BTN,Bhutan,Monarchy,1823692110,1798333726,1958819096,2059809920,2219675781,2528007911,10.91965694,7.006666667,8.271060939,4.548143951,4.310168755,3.858200035,2.049999952,2.869999886,2.630000114,2.450000048,2.441999912,2.434999943,2.428999901,6.980999947,9.340999603,9.208999634,10,10.1260004,10.18999958,10.27000046,74.3,1
76,CAN,Canada,"Capitalism,Democracy",1.82E+12,1.84E+12,1.8E+12,1.56E+12,1.54E+12,1.65E+12,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547,1.596884129,7.289999962,7.070000172,6.909999847,6.909999847,7,6.340000153,5.873000145,14.44799995,13.73499966,13.46500015,13.16600037,13.08500004,11.61200047,10.67599964,21.5,1
77,CHE,Switzerland,"Capitalism,Democracy",6.68E+11,6.89E+11,7.09E+11,6.79E+11,6.69E+11,6.79E+11,-0.692545842,-0.217308518,-0.01322916,-1.143900644,-0.434607639,0.533795988,4.480000019,4.75,4.829999924,4.800000191,4.920000076,4.800000191,4.778999805,8.30300045,8.736000061,8.592000008,8.81499958,8.576000214,8.055000305,7.988999844,19.2,1
